event_id,start_date,end_date,venue,location,ticket_link,vip_link,additional_info
1de50e85ddc5,2025-05-23T00:00:00,2025-05-25T00:00:00,BottleRock Napa Valley,"Napa, CA",https://link.seated.com/fed2fbb9-ff7a-4e38-a93f-c7f0f75f3395,,[]
415c948d49c8,2025-05-27T00:00:00,2025-05-27T00:00:00,The Masonic,"San Francisco, CA",https://link.seated.com/3d9337a7-c4a4-4391-87db-3582ea93a500,,[]
cacb6ddc7a4b,2025-05-28T00:00:00,2025-05-28T00:00:00,The Masonic,"San Francisco, CA",https://link.seated.com/e9ddf4cf-dd1d-4b12-b7dd-c69659e5febb,,[]
ecbecfebb702,2025-05-30T00:00:00,2025-05-30T00:00:00,Hayden Homes Amphitheater,"Bend, OR",https://link.seated.com/fd81234f-e493-4255-a4d8-4f3e78bb0dac/2,,[]
9b3b3df2e6be,2025-05-31T00:00:00,2025-05-31T00:00:00,Spokane Pavilion,"Spokane, WA",https://link.seated.com/43be7982-0b76-4185-bfa5-6d36af46e19c/2,,[]
bbcd9f091c7a,2025-06-01T00:00:00,2025-06-01T00:00:00,Idaho Botanical Garden: Outlaw Field,"Boise, ID",https://link.seated.com/380334e9-e15a-4961-9ea0-2ff3f575b7a3/2,,[]
f7e3599a59d5,2025-06-03T00:00:00,2025-06-03T00:00:00,Brooklyn Bowl Las Vegas,"Las Vegas, NV",https://link.seated.com/eb3a1728-bd3f-45ce-a84e-f620abcdfd72/2,,[]
f931988f23ff,2025-06-04T00:00:00,2025-06-04T00:00:00,Arizona Financial Theatre,"Phoenix, AZ",https://link.seated.com/1a913b6e-e520-4814-a87b-dc4046fa655b/2,,[]
34b79517a181,2025-06-06T00:00:00,2025-06-06T00:00:00,Fiddler's Green Amphitheatre,"Greenwood Village, CO",https://link.seated.com/a593df02-f296-46ac-ad72-1b0ec2f300b7/2,,[]
36162a2ee810,2025-06-07T00:00:00,2025-06-07T00:00:00,Fiddler's Green Amphitheatre,"Greenwood Village, CO",https://link.seated.com/131bdba1-e4ac-4a23-aa2f-ebda066d3bce/2,,[]
dda1bb24a3e5,2025-06-10T00:00:00,2025-06-10T00:00:00,The Factory,"Chesterfield, MO",https://link.seated.com/09119d6e-45e9-46a0-89ff-e41fbdb143fa/2,,[]
78e26470b2a0,2025-06-11T00:00:00,2025-06-11T00:00:00,The Factory,"Chesterfield, MO",https://link.seated.com/01711ad8-4f74-4f45-a3bb-0428cf580553/2,,[]
140369f7b397,2025-06-12T00:00:00,2025-06-12T00:00:00,Everwise Amphitheater at White River State Park,"Indianapolis, IN",https://link.seated.com/7e9f03c4-d6e7-45a6-9f7c-301b6d67b4eb/2,,[]
6f5e2c391b2a,2025-06-13T00:00:00,2025-06-13T00:00:00,Bonnaroo,"Manchester, TN",https://link.seated.com/39b5defb-cee2-4e3a-b378-a817464df66e,,[]
4441489639b4,2025-06-15T00:00:00,2025-06-15T00:00:00,All Good Now,"Columbia, MD",https://link.seated.com/37c9d707-6807-403b-896c-f531b7bdf596,,[]
5b363fbb6568,2025-06-17T00:00:00,2025-06-17T00:00:00,Live Oak Bank Pavilion,"Wilmington, NC",https://link.seated.com/6a61a6ae-c852-4031-9367-2650d7bc8fc3/2,,[]
9f354cb37a47,2025-06-19T00:00:00,2025-06-19T00:00:00,Jacobs Pavilion at Nautica,"Cleveland, OH",https://link.seated.com/c9a739e6-a621-4706-a8dc-329a72c6933b/2,,[]
22f11d6bd3a8,2025-06-20T00:00:00,2025-06-20T00:00:00,Jacobs Pavilion at Nautica,"Cleveland, OH",https://link.seated.com/3a5689ad-fea9-4aa0-b611-5b92836dc127/2,,[]
ff45bd5fa86a,2025-06-21T00:00:00,2025-06-21T00:00:00,CMAC,"Canandaigua, NY",https://link.seated.com/0f555234-9191-4084-bc8f-07b1c7a0319e/2,,[]
8cca054a7803,2025-06-22T00:00:00,2025-06-22T00:00:00,Mountain Jam,"Highmount, NY",https://link.seated.com/ecc32687-ca27-4ccd-b130-4ab8be2c727f,,[]
5637ddde7a30,2025-06-27T00:00:00,2025-06-27T00:00:00,Bank of New Hampshire Pavilion,"Gilford, NH",https://link.seated.com/f2e53165-4ed9-4fe3-87a2-e467c234f0f6/2,,[]
ab70c3fbd12d,2025-06-28T00:00:00,2025-06-28T00:00:00,Madison Square Garden,"New York, NY",https://link.seated.com/8464beca-2503-43c6-8a94-0787bbdc563a/2,,[]
5b4540805d6b,2025-06-29T00:00:00,2025-06-29T00:00:00,Westville Music Bowl,"New Haven, CT",https://link.seated.com/04c6f740-c3f0-47be-91d7-fc1427dcd8ad/2,,[]
54208a3b86a1,2025-07-25T00:00:00,2025-07-25T00:00:00,Newport Folk Festival,"Newport, RI",https://link.seated.com/f9652afb-2c20-498c-846b-691f48f1e0b2,,[]
6ba9a7052e3e,2025-08-14T00:00:00,2025-08-16T00:00:00,Park City Song Summit,"Park City, UT",https://link.seated.com/0f2b0bc4-d2c5-46bc-9bbb-60bee812ffcb,,[]
8012d7280955,2025-08-28T00:00:00,2025-08-28T00:00:00,University of Iowa,"Iowa City, IA",https://link.seated.com/1cb8e92c-4f85-4443-9ed2-4ab2acdc5d80,,[]
ceddc0c9dea6,2025-08-31T00:00:00,2025-08-31T00:00:00,The Gorge Amphitheatre,"George, WA",https://link.seated.com/e1ad791a-db7f-43aa-a362-69e1d9795b12,,[]
46e7ebda6022,2025-09-12T00:00:00,2025-09-12T00:00:00,Harvest Music Festival,"Fredericton, NB",https://link.seated.com/1c38e221-7621-41c4-a676-4d69936b2800,,[]
cbe006aa2874,2025-09-17T00:00:00,2025-09-17T00:00:00,Kohl Center,"Madison, WI",https://link.seated.com/17034f35-89c3-4262-97bf-2b9e525f84e0,,[]
e4b62a9673af,2025-09-19T00:00:00,2025-09-19T00:00:00,Michigan Lottery Amphitheatre at Freedom Hill,"Sterling Heights, MI",https://link.seated.com/c3f1051b-9b44-4c74-9072-835a55a14497/2,,[]
2cb6e2c126ee,2025-09-20T00:00:00,2025-09-20T00:00:00,Huntington Bank Pavilion at Northerly Island,"Chicago, IL",https://link.seated.com/f506a6b9-aa10-46ee-a596-cc17f2c295fe/2,,[]
860bb9fbf33b,2025-09-23T00:00:00,2025-09-23T00:00:00,Louisville Palace Theatre,"Louisville, KY",https://link.seated.com/3bcb4289-a7e8-4bb9-baac-13c85dee6dfe/2,,[]
e4d5449a484a,2025-09-24T00:00:00,2025-09-24T00:00:00,Louisville Palace Theatre,"Louisville, KY",https://link.seated.com/021b6f0f-e226-4a82-b5c2-d18b4d3c55df/2,,[]
782b6d679f76,2025-09-26T00:00:00,2025-09-26T00:00:00,Ameris Bank Amphitheatre,"Alpharetta, GA",https://link.seated.com/15f85460-b518-4893-bd23-0090d4548aac,,[]
045c189feb1d,2025-09-27T00:00:00,2025-09-27T00:00:00,PNC Music Pavilion,"Charlotte, NC",https://link.seated.com/2e184157-b1fb-4b59-b91a-deb77e1c1da8,,[]
25b18a49db41,2025-09-30T00:00:00,2025-09-30T00:00:00,KEMBA Live!,"Columbus, OH",https://link.seated.com/03f9e762-79a7-468b-b9e4-b30c7bfa0211/2,,[]
de132d6514fb,2025-10-05T00:00:00,2025-10-05T00:00:00,Rise Festival,"Las Vegas, NV",https://link.seated.com/986846a8-b875-43fb-93b5-4f6a69398f05,,[]
1bf2ef608e01,2025-10-30T00:00:00,2025-11-02T00:00:00,Suwannee Hulaween,"Live Oak, FL",https://link.seated.com/c283f48f-83ec-4861-b774-beb752b59159,,[]
